n,x,y
221,0.146174309,0.847984075
222,0.826510479,0.574241073
223,0.980305943,0.522819317
224,0.657268293,0.809813578
225,0.350407512,0.764041705
226,0.548660044,0.954746349
227,0.130983852,0.326698243
228,0.014242938,0.04765403
229,0.970890177,0.692282785
230,0.64967467,0.050138049
231,0.526581047,0.565179224
232,0.933624805,0.859736353
233,0.433809437,0.39702824
234,0.871742928,0.60115884
235,0.826155252,0.171430161
236,0.211042337,0.157735706
237,0.251834811,0.606055072
238,0.292966653,0.864483165
239,0.240539393,0.999837966
240,0.586437168,0.031138731
241,0.259364795,0.920982328
242,0.419012553,0.511118254
243,0.131073677,0.349355668
244,0.910017056,0.397414665
245,0.353784024,0.577889456
246,0.458160986,0.347696886
247,0.583348772,0.145508974
248,0.904296775,0.865563403
249,0.420628271,0.70648944
250,0.917721084,0.60985494
251,0.501648941,0.722559031
252,0.531824962,0.986025904
253,0.523506586,0.175092901
254,0.018704868,0.824168767
255,0.440124912,0.822304307
256,0.183107887,0.343347825
257,0.003932482,0.558776591
258,0.79917045,0.458395104
259,0.172346712,0.194336259
260,0.473492932,0.432897573
261,0.72519327,0.152558871
262,0.556475625,0.93220312
263,0.325982151,0.187463378
264,0.518348713,0.633881451
265,0.555441875,0.570012506
266,0.784272475,0.974657654
267,0.106109417,0.7935981
268,0.560296134,0.360190865
269,0.248494321,0.376116238
270,0.27691707,0.049898122
271,0.772261099,0.051837729
272,0.507713992,0.310973443
273,0.561729387,0.949830742
274,0.759993143,0.049542044
275,0.912488036,0.17674324
276,0.443248394,0.636186112
277,0.612527884,0.360461815
278,0.505553131,0.18557703
279,0.512161472,0.947384848
280,0.692731003,0.042769346
281,0.452345792,0.59805963
282,0.533285438,0.428768926
283,0.478036318,0.345337888
284,0.941501128,0.194930982
285,0.699217882,0.162809388
286,0.876535482,0.405627368
287,0.942180588,0.752345822
288,0.259592294,0.468226693
289,0.559513806,0.777316133
290,0.943267034,0.878662341
291,0.839999783,0.173106237
292,0.137134436,0.879651749
293,0.121621954,0.581403596
294,0.442118088,0.420637735
295,0.0725461,0.513355759
296,0.240638758,0.889966799
297,0.073120767,0.391965329
298,0.669472145,0.094293083
299,0.783936017,0.959738708
300,0.897026433,0.118378619
301,0.154446624,0.106827314
302,0.716119883,0.721693498
303,0.660256515,0.310838273
304,0.142978998,0.289965902
305,0.882832834,0.649543269
306,0.967544783,0.891456411
307,0.219587831,0.345582275
308,0.952504129,0.907215458
309,0.398256875,0.619742337
310,0.487260775,0.607828783
311,0.989871455,0.532526875
312,0.832444669,0.01222035
313,0.16146606,0.158053599
314,0.431521818,0.677067231
315,0.515605058,0.69340899
316,0.339116144,0.096894961
317,0.195744666,0.63699103
318,0.318525568,0.474305958
319,0.722150835,0.57696221
320,0.019482928,0.399130699
321,0.554050248,0.217846314
322,0.440458102,0.355466947
323,0.018081981,0.968813389
324,0.331497889,0.188501631
325,0.623927074,0.862296503
326,0.512262284,0.531245105
327,0.064290793,0.07486638
328,0.985083244,0.811221242
329,0.788363056,0.017287214
330,0.971695959,0.837209265
331,0.104779594,0.338497705
332,0.265564272,0.918619031
333,0.03958819,0.726994239
334,0.77899743,0.358425344
335,0.270446098,0.625330981
336,0.129555559,0.986725016
337,0.422254181,0.171094336
338,0.911413816,0.205568933
339,0.81897898,0.289201572
340,0.258609015,0.820662418
341,0.149367947,0.246930204
342,0.919171509,0.246384206
343,0.570594925,0.614703242
344,0.700417447,0.584575576
345,0.089462208,0.418739109
346,0.057526512,0.551114565
347,0.688205571,0.031095804
348,0.425317041,0.005461746
349,0.072414095,0.027669585
350,0.938349709,0.0550011
351,0.634439506,0.770723639
352,0.801628592,0.979148471
353,0.083742526,0.124638481
354,0.856228636,0.385271267
355,0.066622535,0.014628341
356,0.862774969,0.43397974
357,0.453773521,0.661669621
358,0.339151777,0.62413441
359,0.553064118,0.901555762
360,0.926669284,0.551691489
361,0.267859747,0.052770188
362,0.1292248,0.376326915
363,0.526915027,0.459104601
364,0.238436169,0.335814835
365,0.109451465,0.034524086
366,0.161449092,0.627468522
367,0.050379717,0.488826543
368,0.201768249,0.709341338
369,0.311992404,0.364584309
370,0.305005398,0.070556239
371,0.759498255,0.26531356
372,0.289960835,0.176074148
373,0.5000886,0.460741714
374,0.177899884,0.153605128
375,0.347001022,0.078576274
376,0.018163107,0.524899031
377,0.250448756,0.140787555
378,0.015346117,0.104527008
379,0.733080383,0.12038474
380,0.551049128,0.705394943
381,0.189456496,0.806655387
382,0.474760639,0.809760869
383,0.93464284,0.575792799
384,0.106281345,0.635207116
385,0.81892014,0.753688697
386,0.432177586,0.42765279
387,0.495001573,0.509759189
388,0.834613933,0.713045545
389,0.393086076,0.633886166
390,0.506685952,0.608818368
391,0.687741736,0.646309601
392,0.98244054,0.535576008
393,0.342704625,0.213918553
394,0.832286543,0.305799334
395,0.706725402,0.691299214
396,0.635976949,0.41890885
397,0.404697709,0.858428158
398,0.34755218,0.374121953
399,0.054388537,0.669353766
400,0.129818581,0.115567069
401,0.070722816,0.29953834
402,0.740889198,0.851088043
403,0.255593877,0.175543047
404,0.16324652,0.625913323
405,0.084484873,0.027778666
406,0.841268982,0.609286458
407,0.870537821,0.451422532
408,0.670543298,0.899399025
409,0.281933282,0.825455925
410,0.242212934,0.773203315
411,0.293058493,0.338693153
412,0.459452943,0.669044014
413,0.15753294,0.154768549
414,0.445824608,0.489773658
415,0.263243067,0.389370778
416,0.961786533,0.469659609
417,0.972622998,0.274092071
418,0.547073374,0.211719651
419,0.244446494,0.519851002
420,0.96566677,0.653620511
421,0.309547918,0.562767519
422,0.356583917,0.953030786
423,0.001068915,0.556449267
424,0.381626607,0.149247631
425,0.474643627,0.641615189
426,0.502764006,0.316576881
427,0.200980054,0.938538576
428,0.50473564,0.129900232
429,0.004950532,0.457656846
430,0.264168686,0.673736344
431,0.089753398,0.969498087
432,0.39951117,0.5219009
433,0.041666958,0.380126287
434,0.022494147,0.776292063
435,0.30424456,0.786960215
436,0.232809567,0.913672966
437,0.585583284,0.7214363
438,0.529189548,0.127602369
439,0.75054063,0.991444409
440,0.657543673,0.930682043
441,0.71599344,0.435266988
442,0.879090694,0.659297537
443,0.389516471,0.834292483
444,0.326134754,0.916883898
445,0.984729085,0.723033428
446,0.149463149,0.090593465
447,0.724155773,0.067828513
448,0.64321945,0.366280666
449,0.043788067,0.45599493
450,0.835289543,0.311330364
451,0.891942356,0.749487848
452,0.627332124,0.763693218
453,0.733852123,0.399696093
454,0.812218916,0.698039595
455,0.13930761,0.192529393
456,0.523757285,0.951392373
457,0.504371051,0.241478508
458,0.834937593,0.15622565
459,0.804677606,0.382152701
460,0.826409122,0.86304893
461,0.584061517,0.598235968
462,0.892829736,0.686108729
463,0.68289537,0.81827989
464,0.693326135,0.385907075
465,0.229940721,0.959520133
466,0.031160526,0.987325967
467,0.133093198,0.535172073
468,0.360707476,0.749366538
469,0.104916471,0.853762639
470,0.8358212,0.591639731
471,0.558527246,0.130194352
472,0.627767109,0.656805034
473,0.626226459,0.455702477
474,0.680664176,0.854248054
475,0.489294315,0.209256835
476,0.003314327,0.011776749
477,0.797697552,0.178839651
478,0.74826537,0.17080466
479,0.502971052,0.384309207
480,0.535199814,0.207796836
481,0.659299489,0.33396216
482,0.066050356,0.589068929
483,0.736788329,0.15495009
484,0.252193531,0.484584938
485,0.07445,0.355566921
486,0.265558222,0.004909816
487,0.729335038,0.674195374
488,0.205217527,0.501510865
489,0.739828591,0.776220714
490,0.975735094,0.876853143
491,0.493948779,0.048038232
492,0.382560477,0.714106413
493,0.479010164,0.459288598
494,0.683696563,0.874242647
495,0.766970106,0.115507624
496,0.616974016,0.838777955
497,0.642762975,0.429604761
498,0.07747182,0.092697919
499,0.147425073,0.462151663
500,0.253940282,0.877125306
501,0.743217257,0.073435506
502,0.304417138,0.378729578
503,0.567761698,0.080104433
504,0.012469213,0.007057484
505,0.060661014,0.826692996
506,0.268772766,0.550742926
507,0.672001579,0.570689861
508,0.692185173,0.899283199
509,0.675707657,0.084985401
510,0.290856478,0.94433988
511,0.516535694,0.75309069
512,0.464662853,0.850893441
513,0.466339154,0.815213756
514,0.118502863,0.393802009
515,0.893662926,0.023191277
516,0.19925003,0.997534524
517,0.978125737,0.632905614
518,0.936254341,0.71167748
519,0.017504456,0.695638935
520,0.458970823,0.298750144
521,0.819897693,0.656905011
522,0.968108252,0.450760567
523,0.44945097,0.226784672
524,0.26865724,0.499536966
525,0.20983722,0.467752884
526,0.945587277,0.301931426
527,0.210708798,0.749438804
528,0.581472368,0.908894617
529,0.141740678,0.598051181
530,0.524065713,0.02319565
531,0.952740337,0.544444452
532,0.132605073,0.630862442
533,0.820217011,0.815493334
534,0.508744354,0.303429702
535,0.88686216,0.234400296
536,0.703337039,0.373746035
537,0.231383603,0.160612408
538,0.897705696,0.779350056
539,0.486140656,0.027106498
540,0.024834403,0.564790374
541,0.003590472,0.833217545
542,0.491696109,0.032399156
543,0.4507603,0.164467025
544,0.301951041,0.99194145
545,0.14070722,0.307550543
546,0.343960146,0.767881089
547,0.316078045,0.028413968
548,0.840231034,0.466960798
549,0.001741382,0.042922866
550,0.750734041,0.245458886
551,0.839110795,0.017284342
552,0.120041348,0.679369908
553,0.92639886,0.454073807
554,0.713023566,0.352002837
555,0.901566563,0.420472917
556,0.289832959,0.680220145
557,0.372221999,0.258878708
558,0.392899382,0.154594937
559,0.998792506,0.041874671
560,0.589176655,0.653814455
561,0.360709324,0.664491824
562,0.428052751,0.23924023
563,0.275155253,0.515239915
564,0.048268097,0.96937792
565,0.101709858,0.473376615
566,0.834675995,0.76612925
567,0.28562319,0.350525724
568,0.935589888,0.552074398
569,0.249324716,0.778741843
570,0.265728015,0.697927306
571,0.510962988,0.597369178
572,0.189849047,0.294667195
573,0.373349285,0.056454458
574,0.956165265,0.482235429
575,0.884266556,0.722743956
576,0.811962267,0.359706547
577,0.630895804,0.726524774
578,0.913423887,0.470968964
579,0.940699298,0.069857479
580,0.549228148,0.580928945
581,0.719572582,0.549169159
582,0.049476034,0.321729916
583,0.732352468,0.19910311
584,0.450860423,0.985557807
585,0.752668009,0.58563451
586,0.64449071,0.724440588
587,0.28620832,0.042195616
588,0.048976905,0.733299838
589,0.926777047,0.161498493
590,0.12731132,0.483109358
591,0.472184087,0.393714786
592,0.343662853,0.388914222
593,0.297771866,0.790714636
594,0.739032505,0.202625073
595,0.976296176,0.945049141
596,0.260169055,0.849950925
597,0.655995326,0.49141231
598,0.300836291,0.876243338
599,0.557321702,0.549746616
600,0.394367778,0.918331737
601,0.167332468,0.488503747
602,0.161656961,0.977612531
603,0.207872521,0.743985839
604,0.90595991,0.658242901
605,0.497075785,0.994138829
606,0.220025252,0.69549694
607,0.90625939,0.244945749
608,0.996475114,0.647302107
609,0.449960444,0.169718679
610,0.139596064,0.404747836
611,0.192407096,0.70333891
612,0.090714508,0.190767375
613,0.341955234,0.423253631
614,0.09109434,0.229370076
615,0.239126581,0.413810784
616,0.258357568,0.231267994
617,0.569617742,0.703012875
618,0.887251459,0.834639343
619,0.749657608,0.481230958
620,0.412781659,0.712298223
621,0.413883572,0.754833958
622,0.524168143,0.807712124
623,0.376865814,0.802141268
624,0.338203101,0.657325088
625,0.062059518,0.738700584
626,0.277516347,0.729377081
627,0.967685263,0.522935649
628,0.125873802,0.796040603
629,0.503395748,0.189211906
630,0.629626906,0.719893488
631,0.862861349,0.638350596
632,0.215963141,0.540718913
633,0.271020881,0.604344253
634,0.24845365,0.918298798
635,0.399757137,0.789500556
636,0.445858392,0.690647242
637,0.953943575,0.900767718
638,0.848683676,0.871331594
639,0.872890986,0.327615807
640,0.02181051,0.860747386
641,0.032243493,0.886111177
642,0.709511785,0.582346335
643,0.895696519,0.92537791
644,0.473268278,0.175461082
645,0.58717649,0.802022774
646,0.000178688,0.24263573
647,0.391521096,0.399679001
648,0.926827274,0.507988782
649,0.825589206,0.421753165
650,0.855462674,0.516823051
651,0.972241122,0.092681156
652,0.248465283,0.05899723
653,0.109045999,0.72431659
654,0.154378385,0.270363355
655,0.522365607,0.277545189
656,0.682075062,0.700262653
657,0.941490559,0.756640451
658,0.721735289,0.534974697
659,0.64734812,0.817737618
660,0.764800548,0.350651769
661,0.457325042,0.890041624
662,0.551500915,0.638233697
663,0.039546259,0.846726313
664,0.782298618,0.813905531
665,0.232576829,0.700952232
666,0.919920109,0.924155876
667,0.645505776,0.75422403
668,0.303782262,0.450210338
669,0.127966848,0.118405833
670,0.251793947,0.403345912
671,0.636291097,0.613756423
672,0.698581917,0.022958779
673,0.112132684,0.596500279
674,0.070351908,0.407947266
675,0.524436682,0.475600276
676,0.582890974,0.066232183
677,0.388081947,0.078236351
678,0.223583034,0.648447377
679,0.601060897,0.269260643
680,0.01046164,0.154339236
681,0.301521301,0.866739458
682,0.460690627,0.057144429
683,0.958939972,0.703098034
684,0.644575639,0.823049691
685,0.883774029,0.896537476
686,0.47530422,0.659260116
687,0.234768097,0.053634599
688,0.247058384,0.43758726
689,0.96061423,0.874512468
690,0.704653663,0.410528403
691,0.307397828,0.535354088
692,0.021787384,0.742800285
693,0.498310245,0.577038055
694,0.674463262,0.360581847
695,0.420015872,0.592199669
696,0.257256122,0.464470221
697,0.667355049,0.332726168
698,0.925160828,0.069808095
699,0.226786073,0.260405829
700,0.034097423,0.995092257
701,0.33805157,0.292729323
702,0.420556846,0.348376026
703,0.682566683,0.981084083
704,0.198079638,0.102765493
705,0.797064217,0.252780733
706,0.739129222,0.376628349
707,0.504878387,0.464089352
708,0.205218587,0.404948981
709,0.969858722,0.274520346
710,0.311715743,0.150389514
711,0.820004494,0.555416305
712,0.230808813,0.168980433
713,0.221442813,0.003649268
714,0.76047074,0.759140848
715,0.294932851,0.763635635
716,0.951926884,0.361173201
717,0.495764729,0.881901877
718,0.187313213,0.159288781
719,0.223324139,0.90097391
720,0.417029082,0.681410452
721,0.665294253,0.670237684
722,0.948761304,0.050031789
723,0.146383054,0.761752349
724,0.393459976,0.169066053
725,0.212949075,0.535683557
726,0.974119705,0.5502273
727,0.141911078,0.060481947
728,0.051840542,0.295275825
729,0.060135254,0.919476177
730,0.393321696,0.758886191
731,0.898167407,0.307858898
732,0.883583637,0.977151709
733,0.732723766,0.07205403
734,0.997529805,0.652575739
735,0.931595498,0.803594994
736,0.32924276,0.847623572
737,0.18551219,0.646839642
738,0.935881552,0.739408028
739,0.746308442,0.246311906
740,0.031893688,0.782581095
741,0.664429864,0.680622751
742,0.378619416,0.573994008
743,0.37388362,0.26689018
744,0.33169749,0.672098102
745,0.169260942,0.049638218
746,0.002870724,0.502226848
747,0.279806428,0.657436153
748,0.35146686,0.338505421
749,0.955514832,0.599916307
750,0.123708282,0.055906075
751,0.964271216,0.334518414
752,0.207402433,0.490912864
753,0.356629221,0.828310028
754,0.821573617,0.53664064
755,0.822007982,0.929830216
756,0.432449334,0.373236539
757,0.049257336,0.892181066
758,0.473464051,0.581888219
759,0.372714389,0.470290206
760,0.919506419,0.182547553
761,0.193026187,0.826400666
762,0.364248862,0.795241954
763,0.896993365,0.387473974
764,0.030282055,0.321264667
765,0.41080183,0.273886137
766,0.811824528,0.340157696
767,0.766668002,0.090988763
768,0.040649484,0.854582029
769,0.034854386,0.436244676
770,0.062579943,0.177591067
771,0.920076721,0.681601821
772,0.257015952,0.175402975
773,0.747286804,0.879683128
774,0.898551789,0.004382763
775,0.339069533,0.553223888
776,0.272314663,0.640524023
777,0.957689605,0.342612025
778,0.616978482,0.193129814
779,0.262172474,0.899308286
780,0.716635746,0.591922356
781,0.316483631,0.695270815
782,0.275630327,0.166063684
783,0.003771616,0.009576703
784,0.755652373,0.907052126
785,0.916459604,0.188079763
786,0.633980043,0.05490486
787,0.943250143,0.777324896
788,0.024256705,0.566481874
789,0.23386626,0.017148464
790,0.475189058,0.557547013
791,0.956777651,0.508827568
792,0.95391058,0.923079614
793,0.386514789,0.59020111
794,0.251046821,0.150613148
795,0.429938084,0.625150196
796,0.493473844,0.800451098
797,0.92809942,0.967604883
798,0.182939231,0.311223544
799,0.802568323,0.577172222
800,0.738488013,0.047683681
801,0.822755253,0.954947458
802,0.77280938,0.142857957
803,0.607254231,0.652843927
804,0.327799811,0.855955921
805,0.319548782,0.479699354
806,0.361858441,0.977814882
807,0.782248621,0.407166217
808,0.079014871,0.568608445
809,0.197311792,0.852783409
810,0.752885671,0.016299807
811,0.247307512,0.863182812
812,0.064733026,0.845850792
813,0.033863719,0.164706751
814,0.552594643,0.697635768
815,0.325758354,0.275875497
816,0.980255771,0.191900876
817,0.883474626,0.510886882
818,0.98782383,0.711318593
819,0.264891316,0.380624698
820,0.084082598,0.34120686
821,0.096422579,0.224231946
822,0.498475268,0.57443077
823,0.709771171,0.583174832
824,0.446963103,0.867853743
825,0.234196299,0.834382556
826,0.416840631,0.008096954
827,0.620307646,0.146700315
828,0.674108619,0.13177886
829,0.747977045,0.271974193
830,0.846987074,0.742239386
831,0.664425222,0.489282559
832,0.121164737,0.730290391
833,0.84087118,0.841271195
834,0.293782147,0.369680507
835,0.566884207,0.003449162
836,0.372971037,0.213203014
837,0.738067428,0.616953604
838,0.199190091,0.572982504
839,0.247429126,0.204110695
840,0.245340297,0.754371258
841,0.1533222,0.028966496
842,0.88416782,0.15476074
843,0.578280756,0.518406896
844,0.326337919,0.604559198
845,0.396069596,0.917314563
846,0.992448727,0.384021216
847,0.507324513,0.812761233
848,0.231380944,0.472281367
849,0.808442891,0.302102235
850,0.653326552,0.952669145
851,0.990955651,0.495740278
852,0.102332421,0.707339909
853,0.474762759,0.29236961
854,0.819102706,0.884643473
855,0.840556364,0.476632724
856,0.914375554,0.046849969
857,0.040361865,0.067297444
858,0.293677466,0.352721002
859,0.119216629,0.427623339
860,0.189573181,0.11124403
861,0.97296518,0.848919568
862,0.583193766,0.556738973
863,0.930173748,0.947898827
864,0.372236963,0.650922939
865,0.866127328,0.798976055
866,0.449113858,0.170442634
867,0.259948222,0.044054477
868,0.777776276,0.228151431
869,0.945702083,0.419188476
870,0.105780062,0.050086275
871,0.596147066,0.927421875
872,0.61994798,0.298876143
873,0.217645422,0.792477309
874,0.368708553,0.045867849
875,0.141369485,0.84980547
876,0.203976437,0.333261556
877,0.254913673,0.514749725
878,0.599423369,0.609472773
879,0.651642821,0.610789627
880,0.20344179,0.296127762
881,0.011379837,0.253994002
882,0.327249232,0.388125941
883,0.67831974,0.556154285
884,0.1851451,0.000557195
885,0.312195734,0.227139768
886,0.203407772,0.0699892
887,0.795281168,0.833030399
888,0.548044834,0.700516987
889,0.063271079,0.831341962
890,0.101387767,0.669564482
891,0.395296713,0.035216056
892,0.55013761,0.327300322
893,0.639181946,0.881949608
894,0.091152598,0.466562922
895,0.163689318,0.321919234
896,0.695405888,0.158058713
897,0.409788921,0.91287991
898,0.283301195,0.093881404
899,0.307595763,0.360873597
900,0.953188837,0.316071034
901,0.312361887,0.637271176
902,0.566520064,0.91145227
903,0.357181716,0.739892721
904,0.416445382,0.96583039
905,0.864246374,0.284880214
906,0.996620356,0.745975306
907,0.363781375,0.71286803
908,0.19720159,0.053163537
909,0.728031698,0.573867693
910,0.203667171,0.877347453
911,0.005876597,0.030287275
912,0.901630582,0.227361004
913,0.423754805,0.535630502
914,0.820368581,0.608020516
915,0.406217684,0.544524431
916,0.882837946,0.883139176
917,0.460906236,0.379246786
918,0.162544579,0.658439552
919,0.014834375,0.544750911
920,0.551547856,0.821379377
921,0.640666692,0.390886878
922,0.909794512,0.918932017
923,0.089031112,0.847426395
924,0.622194595,0.723105624
925,0.370843625,0.91584248
926,0.504463063,0.662929558
927,0.145886826,0.293798603
928,0.283295007,0.959296928
929,0.521158875,0.351844452
930,0.92549979,0.346762977
931,0.108792844,0.627070597
932,0.49050965,0.500374883
933,0.804813614,0.996431621
934,0.966876073,0.414370758
935,0.197341705,0.932875284
936,0.126650355,0.450667375
937,0.943075709,0.225374515
938,0.975546583,0.535622964
939,0.482736486,0.673407582
940,0.053374548,0.300385179
941,0.926167813,0.586945867
942,0.387895182,0.437019512
943,0.904220847,0.021359167
944,0.620342968,0.064897405
945,0.824555754,0.37986063
946,0.16027615,0.70067201
947,0.785825572,0.158305444
948,0.222075087,0.962561861
949,0.404484552,0.363000612
950,0.846351379,0.107799595
951,0.829187702,0.1866912
952,0.182965544,0.920550992
953,0.218136877,0.845160154
954,0.399745583,0.662085972
955,0.517892518,0.058613255
956,0.383576373,0.642125033
957,0.123056703,0.022992793
958,0.247058898,0.23483595
959,0.724882691,0.067530003
960,0.897295022,0.670817669
961,0.041099033,0.819197591
962,0.562343268,0.261330002
963,0.757461255,0.995985381
964,0.038128701,0.542337493
965,0.83820426,0.849521859
966,0.117731015,0.196702194
967,0.59951977,0.79629608
968,0.550051837,0.630775927
969,0.627042419,0.078057996
970,0.306214144,0.764064013
971,0.420071865,0.764140509
972,0.582624661,0.377969054
973,0.425739843,0.265608772
974,0.658842708,0.07495139
975,0.446789395,0.602729567
976,0.438352594,0.29907508
977,0.02337528,0.233650448
978,0.61889188,0.448875851
979,0.489501599,0.128500741
980,0.235250923,0.659697263
981,0.763565195,0.324080093
982,0.779974891,0.293841036
983,0.458289041,0.432649285
984,0.179569034,0.434338466
985,0.473218846,0.434996068
986,0.107076072,0.253915363
987,0.12845588,0.753085065
988,0.430599007,0.895703995
989,0.091713144,0.565389216
990,0.441967133,0.721601589
991,0.510161248,0.81034649
992,0.040766791,0.285864701
993,0.636437022,0.869240537
994,0.082241028,0.569387344
995,0.733480225,0.635386046
996,0.777636086,0.553090441
997,0.511481733,0.88453819
998,0.054264931,0.491962272
999,0.503924064,0.709720419
